Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-15,SANGINITA,EQ,80.35,81.5,82.45,79.5,79.5,79.5,80.38,27679,222471335000.0,255,12911,0.46649999999999997
2019-07-16,SANGINITA,EQ,79.5,79.25,81.0,78.0,79.5,78.35,79.37,24074,191086730000.0,77,16071,0.6676000000000001
2019-07-17,SANGINITA,EQ,78.35,78.5,81.9,78.5,80.0,79.5,79.82,5648,45084260000.0,37,963,0.1705
2019-07-18,SANGINITA,EQ,79.5,79.5,80.1,75.75,77.9,77.6,79.2,19649,155612570000.0,80,15499,0.7888
2019-07-19,SANGINITA,EQ,77.6,81.45,81.45,75.25,78.0,77.6,77.97,5133,40021705000.0,79,4263,0.8305
2019-07-22,SANGINITA,EQ,77.6,78.0,81.45,77.6,79.85,79.8,79.76,11403,90949145000.0,47,5760,0.5051
2019-07-23,SANGINITA,EQ,79.8,78.5,82.8,75.85,79.25,78.45,79.97,54460,435522950000.0,310,3974,0.073
2019-07-24,SANGINITA,EQ,78.45,78.0,81.95,75.0,78.7,77.85,78.53,17870,140341115000.0,318,9747,0.5454
2019-07-25,SANGINITA,EQ,77.85,77.6,81.5,76.8,79.5,79.35,78.09,17240,134622405000.0,149,2486,0.1442
2019-07-26,SANGINITA,EQ,79.35,78.5,79.35,75.5,77.9,77.3,77.35,2133,16498429999.999998,125,1111,0.5209
2019-07-29,SANGINITA,EQ,77.3,77.25,80.2,77.25,79.0,78.75,78.84,24828,195742580000.0,70,23826,0.9596
2019-07-30,SANGINITA,EQ,78.75,78.25,80.5,74.85,78.0,75.0,75.15,9408,70703225000.0,101,4451,0.4731
2019-07-31,SANGINITA,EQ,75.0,76.8,78.75,74.0,78.0,77.0,76.89,67840,521637605000.0,133,65219,0.9614
2019-08-01,SANGINITA,EQ,77.0,76.8,80.6,73.25,80.4,79.85,78.78,42060,331344430000.0,239,36076,0.8577
2019-08-02,SANGINITA,EQ,79.85,79.0,83.5,77.2,79.5,79.4,79.11,45264,358067015000.0,100,44904,0.9920000000000001
2019-08-05,SANGINITA,EQ,79.4,83.3,83.3,75.45,78.5,79.2,79.52,40086,318765615000.0,215,34732,0.8664000000000001
2019-08-06,SANGINITA,EQ,79.2,78.9,78.9,75.5,75.5,76.1,78.2,13605,106388589999.99998,126,12260,0.9011
2019-08-07,SANGINITA,EQ,76.1,80.4,80.4,75.0,77.15,77.2,77.2,61700,476340359999.99994,261,56624,0.9177
2019-08-08,SANGINITA,EQ,77.2,80.0,80.0,77.4,78.2,78.0,78.07,25868,201959170000.0,248,15553,0.6012
2019-08-09,SANGINITA,EQ,78.0,79.0,79.0,71.5,74.2,74.0,74.21,27213,201952195000.0,291,9121,0.33520000000000005
2019-08-13,SANGINITA,EQ,74.0,74.0,78.8,74.0,78.25,78.2,77.34,47684,368782710000.0,349,26471,0.5551
2019-08-14,SANGINITA,EQ,78.2,79.15,79.5,75.0,78.0,78.0,78.59,68518,538481315000.00006,385,43889,0.6405
2019-08-16,SANGINITA,EQ,78.0,79.3,79.3,76.9,78.1,77.9,78.14,50144,391849715000.0,528,21321,0.4252
2019-08-19,SANGINITA,EQ,77.9,79.15,79.15,74.85,77.4,77.35,77.48,33470,259340940000.0,265,13668,0.40840000000000004
2019-08-20,SANGINITA,EQ,77.35,77.75,77.9,72.0,72.0,74.15,76.75,21703,166559770000.0,329,1415,0.0652
2019-08-21,SANGINITA,EQ,74.15,74.2,78.0,74.2,76.85,76.85,76.29,47708,363968810000.0,402,23447,0.4915
2019-08-22,SANGINITA,EQ,76.85,76.45,80.0,76.45,78.0,77.5,78.36,62673,491135180000.0,218,47698,0.7611
