Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-05-22,LFIC,EQ,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72,504000000.0,2,72,1.0
2019-05-23,LFIC,EQ,70.0,66.5,66.5,66.5,66.5,66.5,66.5,105,698250000.0,3,105,1.0
2019-05-24,LFIC,EQ,66.5,69.8,69.8,69.8,69.8,69.8,69.8,1,6980000.0,1,1,1.0
2019-05-28,LFIC,EQ,69.8,73.25,73.25,73.0,73.0,73.0,73.21,13,95175000.0,4,13,1.0
2019-05-30,LFIC,EQ,73.0,69.45,75.4,69.45,70.0,70.0,69.99,123,860925000.0,5,121,0.9837
2019-05-31,LFIC,EQ,70.0,66.95,73.5,66.9,72.0,72.0,68.24,503,3432455000.0000005,9,400,0.7952
2019-06-03,LFIC,EQ,72.0,75.45,75.45,68.45,68.55,68.55,68.74,69,474305000.0,6,65,0.9420000000000001
2019-06-06,LFIC,EQ,68.55,65.5,65.5,65.15,65.35,65.35,65.34,514,3358465000.0,11,501,0.9747
2019-06-10,LFIC,EQ,65.35,62.1,62.15,62.1,62.1,62.1,62.1,573,3558430000.0000005,11,563,0.9825
2019-06-11,LFIC,EQ,62.1,65.0,65.0,59.0,62.0,62.0,59.92,189,1132500000.0,6,135,0.7143
2019-06-12,LFIC,EQ,62.0,65.0,65.0,65.0,65.0,65.0,65.0,50,325000000.0,1,50,1.0
2019-06-13,LFIC,EQ,65.0,63.0,67.95,61.8,62.0,62.05,62.48,540,3374150000.0,13,540,1.0
2019-06-14,LFIC,EQ,62.05,62.1,64.95,62.1,62.1,62.1,63.09,373,2353380000.0,8,113,0.3029
2019-06-17,LFIC,EQ,62.1,59.55,59.55,59.25,59.55,59.5,59.5,685,4075675000.0,15,685,1.0
2019-06-18,LFIC,EQ,59.5,60.0,60.0,58.0,58.0,58.75,59.39,1001,5945400000.0,15,1000,0.9990000000000001
2019-06-19,LFIC,EQ,58.75,58.05,60.0,58.0,60.0,60.0,58.05,632,3668880000.0000005,4,600,0.9494
2019-06-20,LFIC,EQ,60.0,58.0,61.8,58.0,61.8,61.8,59.12,51,301500000.0,3,36,0.7059000000000001
2019-06-21,LFIC,EQ,61.8,61.5,61.5,58.75,58.75,58.75,60.3,160,964750000.0,3,160,1.0
2019-06-24,LFIC,EQ,58.75,55.85,61.25,55.85,61.2,61.2,56.13,321,1801809999.9999998,7,307,0.9564
2019-06-25,LFIC,EQ,61.2,61.05,61.1,58.15,58.15,58.15,59.9,402,2407995000.0,5,256,0.6368
2019-06-26,LFIC,EQ,58.15,58.0,59.0,55.25,58.75,58.75,57.43,1862,10693160000.0,32,1802,0.9678
2019-06-27,LFIC,EQ,58.75,55.85,59.75,55.85,59.75,59.75,59.06,1634,9651075000.0,21,1604,0.9816
2019-06-28,LFIC,EQ,59.75,56.8,62.6,56.8,62.6,60.85,59.46,1041,6189670000.0,11,1006,0.9664
2019-07-01,LFIC,EQ,60.85,60.85,60.85,60.0,60.0,60.0,60.44,29,175275000.0,3,15,0.5172
2019-07-02,LFIC,EQ,60.0,57.0,63.0,57.0,63.0,63.0,60.78,81,492300000.0,6,48,0.5926
2019-07-03,LFIC,EQ,63.0,59.85,62.8,59.85,62.8,62.8,60.04,85,510320000.0,30,84,0.9882
2019-07-04,LFIC,EQ,62.8,59.7,63.75,59.7,60.0,61.75,61.44,198,1216595000.0,9,165,0.8333
2019-07-05,LFIC,EQ,61.75,58.7,62.9,58.7,59.2,61.05,60.27,42,253119999.99999997,3,0,0.0
2019-07-08,LFIC,EQ,61.05,58.0,58.0,58.0,58.0,58.0,58.0,6,34800000.0,1,6,1.0
2019-07-15,LFIC,EQ,58.0,57.45,60.85,57.0,60.4,60.45,57.47,166,954000000.0,6,156,0.9398000000000001
2019-07-16,LFIC,EQ,60.45,57.45,63.3,57.45,63.3,57.55,57.52,414,2381315000.0,9,413,0.9976
2019-07-17,LFIC,EQ,57.55,57.55,60.4,57.55,60.4,60.4,59.47,569,3383650000.0,11,218,0.38310000000000005
2019-07-18,LFIC,EQ,60.4,59.85,61.9,57.45,61.9,61.9,58.92,109,642200000.0,5,108,0.9908
2019-07-22,LFIC,EQ,61.9,59.65,59.65,58.85,59.05,59.05,59.29,63,373555000.0,3,63,1.0
2019-07-23,LFIC,EQ,59.05,56.1,59.0,56.1,59.0,59.0,57.35,279,1599990000.0,4,179,0.6416
2019-07-24,LFIC,EQ,59.0,59.0,60.95,56.05,60.95,60.95,57.93,272,1575670000.0,9,242,0.8897
2019-07-26,LFIC,EQ,60.95,60.95,61.0,60.95,60.95,60.95,60.96,90,548600000.0,5,90,1.0
2019-07-29,LFIC,EQ,60.95,60.95,63.0,60.9,63.0,63.0,61.02,142,866479999.9999999,4,134,0.9437000000000001
2019-07-31,LFIC,EQ,63.0,59.85,63.0,59.85,60.0,60.0,59.95,258,1546650000.0,7,257,0.9961
