Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-10-03,SBILIFE,EQ,700.0,735.0,740.0,701.7,713.3,707.55,725.24,35367877,2565032467710000.0,920703,19511140,0.5517000000000001
2017-10-04,SBILIFE,EQ,707.55,710.15,710.75,699.0,702.05,703.65,704.44,3613280,254535562435000.0,166791,2241249,0.6203000000000001
2017-10-05,SBILIFE,EQ,703.65,704.55,704.55,686.1,695.0,694.55,693.13,2680742,185809419860000.0,108948,1783332,0.6652
2017-10-06,SBILIFE,EQ,694.55,693.9,702.0,689.0,694.1,696.75,695.26,1416485,98483109315000.0,56442,929120,0.6559
2017-10-09,SBILIFE,EQ,696.75,694.1,702.5,694.1,695.5,698.65,699.78,951473,66582263529999.99,45968,734820,0.7723000000000001
2017-10-10,SBILIFE,EQ,698.65,698.35,701.2,695.55,697.5,700.0,699.76,555002,38836975695000.0,41515,452804,0.8159000000000001
2017-10-11,SBILIFE,EQ,700.0,700.0,703.0,686.0,689.0,689.9,697.67,1077409,75167280035000.0,35472,878466,0.8154000000000001
2017-10-12,SBILIFE,EQ,689.9,691.1,694.0,685.0,685.0,687.7,689.08,439314,30272320510000.004,21618,313480,0.7136
2017-10-13,SBILIFE,EQ,687.7,688.95,695.05,680.0,691.25,689.7,687.06,1344510,92376448505000.0,41549,1040884,0.7742
2017-10-16,SBILIFE,EQ,689.7,686.0,689.45,669.0,669.75,670.1,673.54,971834,65456443690000.0,65404,762062,0.7841
2017-10-17,SBILIFE,EQ,670.1,670.5,674.0,669.0,671.25,673.05,670.86,664335,44567419955000.0,60160,545568,0.8212
2017-10-18,SBILIFE,EQ,673.05,671.0,672.85,664.15,668.0,668.4,667.84,415712,27762964775000.0,42451,298766,0.7187
2017-10-19,SBILIFE,EQ,668.4,666.1,678.25,666.1,674.0,675.1,674.19,93358,6294079270000.0,3339,74238,0.7952
2017-10-23,SBILIFE,EQ,675.1,670.0,673.8,665.0,665.1,665.8,668.88,292330,19553411755000.0,23506,221649,0.7582
2017-10-24,SBILIFE,EQ,665.8,663.8,671.45,663.0,670.0,665.85,667.83,350373,23399093595000.0,31547,266286,0.76
2017-10-25,SBILIFE,EQ,665.85,667.0,673.45,658.1,668.05,669.9,664.38,583868,38791291755000.0,27392,494506,0.8469
2017-10-26,SBILIFE,EQ,669.9,669.9,669.9,660.5,665.0,666.85,664.45,242175,16091399530000.002,18428,184159,0.7604000000000001
